Ketchup.choice,price.heinz,price.hunts,price.delmonte,price.stb
stb,1.39,1.39,1.49,0.89
heinz,1.19,1.36,1.39,0.95
stb,1.39,1.39,1.49,0.89
stb,1.19,1.29,1.49,0.95
stb,1.19,1.49,1.49,0.95
stb,1.46,1.19,1.46,0.79
stb,1.19,1.36,1.49,0.95
delmonte,0.99,1.39,1.49,0.89
heinz,1.46,1.36,1.39,0.95
stb,1.19,1.53,1.49,0.95
heinz,1.46,1.43,1.49,0.75
heinz,1.19,1.36,1.39,0.95
heinz,1.46,1.43,1.49,0.99
heinz,0.79,1.43,1.45,0.99
heinz,1.46,1.43,1.45,0.99
hunts,1.46,1.43,1.49,0.99
stb,1.39,1.39,1.49,0.89
heinz,1.39,1.39,1.49,0.99
hunts,1.39,0.79,1.39,0.95
heinz,0.99,1.39,1.49,0.89
hunts,1.46,1.29,1.39,0.95
hunts,1.46,1.43,1.45,0.99
stb,1.19,1.36,1.39,0.95
stb,1.46,1.29,1.39,0.95
stb,1.46,1.43,1.39,0.75
stb,1.46,1.43,0.99,0.75
hunts,1.39,0.99,1.39,0.99
hunts,1.39,0.89,1.39,0.95
stb,0.99,1.19,1.46,0.95
heinz,0.99,1.43,1.46,0.79
heinz,0.79,1.43,1.45,0.99
stb,1.19,1.39,1.49,0.89
heinz,0.99,1.53,1.49,0.95
hunts,1.39,0.79,1.39,0.95
delmonte,1.39,1.39,1.49,0.89
heinz,1.39,1.36,1.49,0.95
hunts,1.46,1.43,1.49,0.75
heinz,0.99,1.39,1.49,0.89
heinz,0.99,1.36,1.39,0.95
delmonte,1.46,1.43,0.89,0.99
stb,1.19,1.39,1.49,0.89
delmonte,1.39,1.39,1.49,0.89
heinz,1.39,1.36,1.49,0.89
heinz,0.79,1.43,1.45,0.99
stb,1.47,1.43,1.45,0.99
stb,1.47,1.43,1.45,0.99
delmonte,1.46,1.43,1.45,0.99
heinz,1.19,1.36,1.46,0.95
heinz,0.99,1.53,1.46,0.95
heinz,0.99,1.43,1.46,0.99
heinz,0.99,1.43,1.46,0.99
heinz,0.99,1.43,1.46,0.99
heinz,1.19,1.39,1.49,0.89
delmonte,1.46,1.43,0.99,0.99
stb,1.19,1.39,1.49,0.99
heinz,1.19,1.39,1.49,0.89
heinz,0.99,1.53,1.46,0.95
heinz,1.46,1.43,1.46,0.99
stb,1.46,1.44,1.46,0.79
heinz,1.39,1.39,1.49,0.89
heinz,0.99,1.39,1.49,0.89
heinz,1.46,1.29,1.49,0.95
heinz,0.99,1.53,1.46,0.95
heinz,1.46,1.43,1.46,0.79
heinz,1.46,1.43,0.99,0.75
heinz,1.46,1.43,0.99,0.75
heinz,1.19,0.99,1.46,0.95
hunts,1.46,1.53,1.46,0.95
hunts,1.39,0.79,1.39,0.95
delmonte,1.19,1.49,1.49,0.95
delmonte,1.39,1.39,0.99,0.79
heinz,0.99,1.39,1.49,0.89
heinz,1.39,1.36,1.39,0.95
heinz,0.99,1.53,1.46,0.95
heinz,0.99,1.39,1.49,0.89
hunts,1.39,0.79,1.39,0.95
stb,1.39,1.39,1.49,0.89
stb,1.39,1.39,1.49,0.89
delmonte,1.39,0.89,1.39,0.89
heinz,1.19,1.53,1.49,0.95
heinz,0.79,1.43,1.45,0.99
heinz,1.47,1.43,1.45,0.99
hunts,1.47,1.43,1.45,0.99
stb,0.99,1.43,1.49,0.75
hunts,1.46,1.43,0.99,0.99
hunts,1.39,0.89,1.39,0.95
heinz,0.99,1.39,1.49,0.89
stb,1.46,1.43,1.39,0.75
heinz,1.19,1.39,1.49,0.89
heinz,0.99,1.39,1.49,0.89
heinz,1.19,1.39,1.49,0.89
heinz,1.39,1.36,1.39,0.95
delmonte,1.39,1.36,1.39,0.95
stb,0.99,1.39,1.49,0.89
heinz,1.19,1.36,1.39,0.95
heinz,0.79,1.43,1.45,0.99
heinz,1.19,1.36,1.49,0.95
heinz,0.99,1.19,1.49,0.95
heinz,0.99,1.43,1.49,0.75
delmonte,1.46,1.43,1.45,0.99
stb,1.46,1.43,1.45,0.99
heinz,1.39,1.39,1.49,0.89
heinz,0.99,1.39,1.49,0.89
heinz,1.46,1.53,1.45,0.99
stb,1.46,1.53,1.47,0.75
delmonte,1.19,0.89,1.49,0.89
heinz,0.99,1.39,1.49,0.89
heinz,1.39,1.39,1.49,0.89
heinz,0.99,1.39,1.49,0.89
heinz,1.19,1.36,1.39,0.95
heinz,0.79,1.43,1.45,0.99
heinz,1.46,1.43,1.45,0.99
hunts,1.19,1.19,1.47,0.79
stb,1.46,1.43,0.99,0.99
heinz,1.19,1.36,1.39,0.95
heinz,1.19,1.29,1.39,0.95
heinz,0.99,0.99,1.46,0.95
stb,0.99,1.39,1.49,0.89
stb,1.46,1.44,1.46,0.79
heinz,1.19,1.39,1.49,0.89
heinz,1.19,1.39,1.49,0.89
heinz,0.99,1.36,1.39,0.95
heinz,0.99,1.19,1.46,0.95
heinz,0.99,1.53,1.46,0.95
heinz,1.46,1.43,1.46,0.99
heinz,0.79,1.43,1.46,0.99
heinz,0.99,1.43,1.45,0.99
hunts,1.39,0.79,1.39,0.95
hunts,1.46,1.43,1.46,0.99
hunts,1.46,1.43,1.46,0.75
stb,1.19,1.29,1.46,0.95
stb,1.46,1.44,1.46,0.79
heinz,0.99,1.39,1.49,0.89
heinz,0.99,1.36,1.39,0.95
heinz,1.19,1.36,1.39,0.95
hunts,1.39,0.89,1.39,0.95
hunts,1.46,1.29,1.46,0.95
hunts,0.99,1.29,1.49,0.95
hunts,1.46,1.43,1.47,0.79
stb,1.19,1.36,1.39,0.95
heinz,0.99,1.39,1.49,0.89
heinz,0.99,1.36,1.39,0.95
heinz,1.19,1.29,1.49,0.95
heinz,1.46,1.43,0.99,0.75
stb,1.19,1.43,1.46,0.99
stb,1.39,1.39,0.99,0.79
heinz,1.19,1.39,1.49,0.89
heinz,1.46,1.43,1.45,0.99
hunts,1.19,1.29,1.46,0.95
delmonte,0.99,1.43,1.45,0.99
heinz,0.99,1.36,1.39,0.95
heinz,1.19,1.36,1.39,0.95
hunts,1.46,1.29,1.39,0.95
hunts,1.46,1.43,1.49,0.79
hunts,1.39,0.79,1.39,0.95
delmonte,1.46,1.43,0.89,0.99
heinz,0.79,1.43,1.46,0.99
heinz,1.39,0.89,1.39,0.95
heinz,0.99,1.39,1.49,0.89
heinz,0.99,1.39,1.49,0.89
heinz,1.46,1.44,1.46,0.95
heinz,1.46,1.29,1.46,0.95
heinz,1.19,0.99,1.46,0.95
heinz,0.99,1.53,1.46,0.95
heinz,0.99,1.39,1.49,0.89
heinz,0.99,1.39,1.49,0.89
heinz,1.39,0.89,1.39,0.99
heinz,0.99,1.36,1.39,0.95
heinz,1.19,1.29,1.49,0.95
heinz,0.99,1.19,1.49,0.95
heinz,1.19,1.53,1.47,0.95
heinz,1.19,1.36,1.46,0.95
heinz,1.46,1.43,1.46,0.99
heinz,0.99,1.43,1.46,0.99
hunts,1.47,1.43,1.49,0.99
heinz,0.99,1.19,1.39,0.95
heinz,1.46,1.43,1.45,0.99
stb,1.39,1.49,1.49,0.89
heinz,0.99,1.39,1.49,0.89
heinz,1.19,1.36,1.39,0.95
hunts,1.19,1.39,1.49,0.99
hunts,1.19,1.39,1.49,0.89
hunts,1.39,0.89,1.39,0.89
heinz,1.19,1.36,1.39,0.95
heinz,0.99,1.53,1.49,0.95
hunts,1.19,1.29,1.46,0.95
hunts,1.46,1.29,1.46,0.95
hunts,1.46,1.44,1.46,0.95
hunts,0.99,1.43,1.49,0.99
delmonte,1.47,1.43,0.89,0.99
stb,1.39,1.39,1.49,0.89
stb,1.39,1.36,1.39,0.95
heinz,0.79,1.43,1.45,0.99
delmonte,1.46,1.43,0.99,0.99
hunts,1.19,1.39,1.49,0.89
hunts,1.39,0.89,1.49,0.95
hunts,1.46,1.43,1.46,0.79
stb,1.19,1.39,1.49,0.89
stb,1.19,1.39,1.49,0.99
stb,1.39,1.36,1.39,0.95
heinz,1.39,1.36,1.49,0.89
heinz,0.99,1.43,1.46,0.99
heinz,1.46,1.43,1.47,0.79
delmonte,1.39,1.36,1.39,0.95
stb,1.46,1.43,1.46,0.75
stb,1.19,1.53,1.47,0.95
stb,1.46,1.53,1.47,0.95
heinz,1.19,1.29,1.39,0.95
hunts,1.39,0.89,1.39,0.99
stb,1.19,1.39,1.49,0.89
stb,1.19,1.19,1.39,0.95
heinz,1.19,1.36,1.39,0.95
heinz,1.19,1.36,1.39,0.95
stb,1.46,1.43,1.47,0.79
stb,1.46,1.43,1.45,0.99
stb,1.46,1.43,1.49,0.79
heinz,0.99,1.39,1.49,0.89
heinz,1.19,1.29,1.49,0.95
heinz,1.19,1.29,1.49,0.95
heinz,1.19,1.39,1.49,0.89
heinz,1.46,1.43,1.46,0.79
heinz,1.19,1.43,1.46,0.99
stb,1.46,1.19,1.46,0.79
heinz,1.19,0.89,1.49,0.99
heinz,0.99,1.36,1.49,0.95
hunts,1.19,1.49,1.49,0.95
hunts,1.19,1.43,1.46,0.75
stb,1.19,1.36,1.39,0.95
stb,1.19,1.44,1.47,0.95
heinz,0.99,1.39,1.49,0.89
hunts,1.39,0.89,1.39,0.95
heinz,1.39,0.89,1.49,0.95
heinz,0.79,1.43,1.45,0.99
delmonte,1.39,1.39,1.49,0.89
stb,1.39,0.89,1.39,0.95
stb,1.19,1.29,1.39,0.95
stb,1.19,1.53,1.47,0.95
stb,1.46,1.53,1.47,0.99
hunts,1.19,0.89,1.49,0.99
hunts,1.39,0.89,1.49,0.95
stb,1.39,1.36,1.49,0.95
stb,1.19,1.36,1.49,0.95
stb,1.46,1.36,1.49,0.95
stb,1.19,1.36,1.49,0.95
heinz,1.46,1.53,1.46,0.95
heinz,1.46,1.43,1.46,0.75
stb,1.39,1.39,1.49,0.89
heinz,0.99,1.39,1.49,0.89
delmonte,1.39,1.39,1.49,0.89
stb,1.19,1.36,1.39,0.95
heinz,1.19,1.39,1.49,0.89
heinz,0.99,1.49,1.46,0.95
hunts,1.39,0.89,1.39,0.95
heinz,1.19,1.39,1.49,0.89
heinz,0.99,1.43,1.46,0.99
heinz,1.46,1.43,1.45,0.99
hunts,0.99,0.99,1.46,0.95
hunts,1.39,0.79,1.39,0.95
delmonte,1.46,1.43,0.99,0.99
stb,1.46,1.44,1.49,0.95
stb,1.19,1.39,1.49,0.89
stb,1.19,0.89,1.49,0.99
stb,1.19,0.89,1.49,0.95
stb,1.39,0.89,1.49,0.95
stb,1.19,1.29,1.49,0.95
stb,1.19,1.49,1.49,0.95
stb,1.46,1.43,1.46,0.79
stb,1.46,1.19,1.46,0.79
heinz,1.46,1.43,1.45,0.75
heinz,0.99,1.36,1.39,0.95
hunts,1.39,0.89,1.39,0.95
heinz,1.19,1.36,1.39,0.95
heinz,0.99,1.39,1.49,0.89
heinz,0.99,1.39,1.49,0.89
heinz,1.19,0.89,1.39,0.95
stb,1.39,1.39,1.49,0.89
hunts,0.99,1.19,1.46,0.95
heinz,0.99,1.39,1.49,0.89
stb,1.19,1.39,1.49,0.89
heinz,1.19,1.29,1.39,0.95
heinz,1.19,1.19,1.39,0.95
heinz,0.99,1.36,1.39,0.95
heinz,1.46,1.43,1.49,0.79
heinz,1.46,1.53,1.49,0.95
heinz,1.46,1.43,1.45,0.99
heinz,1.39,1.39,1.45,0.79
delmonte,1.39,1.36,1.39,0.95
delmonte,1.39,1.36,1.39,0.95
heinz,0.99,1.39,1.49,0.89
heinz,0.99,1.43,1.46,0.99
heinz,1.19,1.36,1.39,0.95
heinz,1.46,1.43,1.45,0.99
hunts,0.99,1.19,1.39,0.95
hunts,1.46,1.19,1.39,0.79
stb,1.19,1.36,1.39,0.95
stb,1.19,1.36,1.39,0.95
heinz,1.19,1.36,1.39,0.95
heinz,0.99,1.39,1.49,0.89
heinz,0.99,1.39,1.49,0.89
hunts,1.39,0.79,1.39,0.95
hunts,0.99,1.19,1.46,0.95
hunts,1.19,1.19,1.47,0.79
hunts,1.19,1.53,1.47,0.95
heinz,0.99,1.39,1.49,0.89
hunts,1.19,1.49,1.49,0.95
heinz,1.19,1.36,1.49,0.95
hunts,1.39,0.89,1.49,0.89
hunts,1.39,0.79,1.49,0.95
hunts,1.46,1.49,1.46,0.95
hunts,1.39,1.39,1.46,0.99
delmonte,0.99,1.39,1.49,0.89
heinz,1.39,1.36,1.39,0.95
stb,1.19,1.36,1.46,0.95
delmonte,0.99,1.39,1.49,0.89
delmonte,1.39,1.39,1.49,0.89
heinz,0.99,1.19,1.49,0.95
heinz,0.99,1.43,1.45,0.99
heinz,0.79,1.43,1.45,0.99
hunts,0.99,1.43,1.46,0.99
stb,1.46,1.44,1.46,0.79
stb,1.47,1.43,1.45,0.99
heinz,0.99,1.39,1.49,0.89
heinz,1.19,1.36,1.39,0.95
heinz,1.19,1.36,1.46,0.95
heinz,1.46,1.49,1.46,0.95
heinz,1.19,0.99,1.46,0.95
heinz,0.99,1.43,1.46,0.99
stb,1.39,1.36,1.39,0.95
heinz,1.39,1.39,1.49,0.89
heinz,1.46,1.53,1.45,0.75
heinz,1.46,1.36,1.39,0.95
heinz,1.46,1.29,1.49,0.95
delmonte,1.46,1.53,1.47,0.95
delmonte,1.46,1.43,0.89,0.99
heinz,0.99,1.39,1.49,0.89
heinz,1.19,1.36,1.39,0.95
heinz,1.19,1.39,1.49,0.89
heinz,1.19,1.36,1.39,0.95
heinz,0.99,1.36,1.39,0.95
heinz,0.79,1.43,1.46,0.99
hunts,1.46,1.19,1.46,0.79
stb,1.46,1.43,1.46,0.75
hunts,1.19,1.39,1.49,0.89
hunts,1.19,1.29,1.46,0.95
hunts,1.19,1.19,1.46,0.95
hunts,1.46,1.53,1.49,0.95
hunts,0.99,1.43,1.49,0.99
hunts,1.47,1.43,1.45,0.99
hunts,1.47,1.39,0.89,0.99
heinz,1.19,1.49,1.49,0.95
stb,1.46,1.43,1.46,0.79
hunts,1.39,0.89,1.39,0.95
stb,1.46,1.43,0.99,0.75
stb,1.39,0.79,1.39,0.95
heinz,1.19,1.39,1.49,0.89
heinz,1.19,1.36,1.39,0.95
heinz,1.39,1.39,1.49,0.89
heinz,1.39,1.36,1.49,0.95
heinz,0.99,1.19,1.49,0.95
heinz,0.99,1.53,1.49,0.95
stb,0.99,1.36,1.39,0.95
heinz,0.99,1.53,1.47,0.95
delmonte,1.46,1.43,0.89,0.99
stb,1.46,1.43,1.47,0.79
heinz,0.99,1.39,1.49,0.89
heinz,1.19,1.36,1.49,0.95
hunts,1.39,0.89,1.49,0.89
hunts,1.39,0.89,1.49,0.95
hunts,1.46,1.19,1.49,0.95
hunts,1.46,1.19,1.49,0.95
heinz,1.19,1.36,1.39,0.95
stb,1.19,1.29,1.39,0.95
stb,1.46,1.29,1.39,0.95
stb,1.46,1.43,1.45,0.75
delmonte,1.39,0.79,1.39,0.95
heinz,1.19,1.39,1.49,0.89
heinz,1.39,1.36,1.39,0.95
heinz,0.99,0.99,1.46,0.95
heinz,0.99,0.99,1.46,0.95
heinz,1.19,1.53,1.46,0.95
heinz,0.79,1.43,1.46,0.99
hunts,1.39,0.89,1.39,0.95
hunts,1.46,1.53,1.46,0.95
hunts,1.46,1.43,1.46,0.99
heinz,0.99,1.43,1.46,0.99
heinz,0.99,1.39,1.49,0.89
heinz,0.99,1.36,1.39,0.95
heinz,1.46,1.44,1.46,0.95
heinz,1.46,1.36,1.39,0.95
hunts,1.19,0.89,1.39,0.95
heinz,0.99,1.39,1.49,0.89
heinz,1.39,0.79,1.39,0.95
heinz,1.19,1.36,1.46,0.95
heinz,0.99,1.19,1.46,0.95
heinz,0.99,1.43,1.46,0.99
heinz,0.79,1.43,1.46,0.99
hunts,1.39,0.89,1.49,0.89
hunts,1.19,1.53,1.46,0.95
delmonte,1.39,1.39,1.45,0.79
stb,1.46,1.43,1.46,0.75
heinz,1.19,1.36,1.47,0.95
delmonte,1.39,1.36,1.39,0.95
heinz,0.99,1.39,1.49,0.89
stb,1.19,1.19,1.47,0.79
heinz,1.19,1.36,1.39,0.95
heinz,1.19,1.53,1.47,0.95
heinz,1.46,1.43,1.45,0.99
hunts,1.39,1.39,1.49,0.89
delmonte,1.39,1.39,1.39,0.89
stb,1.19,1.39,1.49,0.89
hunts,1.46,1.44,1.49,0.95
hunts,1.39,0.89,1.39,0.95
heinz,1.19,1.36,1.46,0.95
hunts,1.19,1.29,1.46,0.95
heinz,1.19,1.39,1.49,0.89
heinz,0.79,1.43,1.45,0.99
heinz,0.99,1.39,1.49,0.89
hunts,1.19,0.89,1.49,0.89
hunts,1.46,1.43,1.39,0.75
hunts,1.46,1.43,1.46,0.79
delmonte,1.19,1.36,1.39,0.95
heinz,0.99,1.49,1.46,0.95
hunts,1.46,1.29,1.39,0.95
heinz,0.99,1.39,1.49,0.89
heinz,1.39,1.39,1.49,0.89
heinz,1.19,1.36,1.49,0.95
hunts,1.19,0.89,1.49,0.95
hunts,1.19,1.19,1.46,0.95
delmonte,1.19,1.39,1.49,0.89
stb,1.19,1.36,1.39,0.95
stb,1.39,1.39,1.49,0.89
hunts,1.19,1.36,1.39,0.95
stb,0.99,1.36,1.49,0.95
hunts,0.99,1.43,1.45,0.99
heinz,0.99,1.39,1.49,0.89
hunts,1.39,0.89,1.39,0.95
delmonte,1.19,1.39,1.49,0.89
stb,1.39,1.36,1.49,0.95
heinz,1.46,1.43,1.47,0.99
heinz,1.46,1.49,1.49,0.95
hunts,1.46,1.53,1.49,0.95
hunts,1.46,1.43,1.49,0.75
stb,1.46,1.36,1.39,0.95
stb,0.99,1.39,1.49,0.89
heinz,1.19,0.99,1.46,0.95
delmonte,1.46,1.53,1.47,0.99
heinz,1.19,1.29,1.46,0.95
hunts,1.46,1.49,1.46,0.95
hunts,1.46,1.53,1.46,0.95
delmonte,1.46,1.44,1.46,0.95
heinz,0.99,1.39,1.49,0.89
heinz,0.99,1.39,1.49,0.89
heinz,0.99,1.39,1.49,0.89
heinz,0.99,1.19,1.39,0.95
heinz,0.99,1.39,1.49,0.89
heinz,1.19,1.36,1.39,0.95
heinz,1.46,1.36,1.39,0.95
hunts,1.39,1.36,1.39,0.95
heinz,0.99,1.43,0.89,0.99
heinz,1.39,1.39,1.49,0.89
heinz,1.39,1.36,1.39,0.95
heinz,1.19,1.36,1.39,0.95
heinz,0.99,1.43,1.46,0.99
delmonte,0.99,1.43,1.45,0.99
heinz,1.19,1.36,1.39,0.95
heinz,0.99,1.39,1.49,0.89
hunts,1.46,1.43,1.49,0.79
heinz,1.19,1.39,1.49,0.89
heinz,0.99,1.39,1.49,0.89
heinz,1.46,1.43,1.49,0.75
heinz,0.99,1.36,1.49,0.95
heinz,1.46,1.43,0.89,0.99
heinz,1.19,0.99,1.46,0.95
stb,1.19,1.36,1.46,0.95
heinz,0.79,1.43,1.46,0.99
heinz,1.19,1.36,1.46,0.95
hunts,1.39,0.89,1.39,0.95
heinz,1.46,1.43,1.46,0.75
heinz,0.79,1.43,1.46,0.99
heinz,0.99,1.39,1.46,0.99
heinz,1.19,1.29,1.39,0.95
heinz,0.99,1.39,1.49,0.89
hunts,1.46,1.53,1.49,0.95
stb,1.19,1.39,1.49,0.89
heinz,0.99,1.53,1.47,0.95
heinz,1.19,1.29,1.39,0.95
heinz,0.99,1.19,1.39,0.95
heinz,1.19,1.19,1.39,0.95
hunts,1.19,1.29,1.39,0.95
stb,1.39,1.39,1.49,0.89
stb,1.39,1.39,1.49,0.89
stb,1.19,1.36,1.39,0.95
stb,1.19,1.19,1.39,0.79
stb,1.46,1.29,1.39,0.95
stb,1.46,1.29,1.39,0.95
stb,1.46,1.29,1.39,0.99
stb,1.46,1.43,1.39,0.75
stb,1.46,1.43,1.45,0.75
heinz,1.46,0.99,1.46,0.95
hunts,1.39,1.36,1.39,0.95
heinz,0.99,1.53,1.46,0.95
heinz,0.99,1.43,1.46,0.99
heinz,0.99,1.39,1.49,0.89
heinz,0.99,1.39,1.49,0.89
heinz,1.19,1.39,1.49,0.89
hunts,1.39,0.89,1.39,0.95
hunts,1.46,1.29,1.46,0.95
hunts,0.99,1.19,1.46,0.95
heinz,1.39,1.36,1.39,0.95
hunts,1.46,1.43,1.45,0.99
hunts,1.39,0.99,1.39,0.99
stb,1.19,1.36,1.39,0.95
heinz,0.99,1.39,1.49,0.89
heinz,1.19,1.39,1.49,0.89
heinz,1.39,0.79,1.39,0.95
heinz,0.99,1.36,1.39,0.95
heinz,0.99,1.43,1.46,0.99
stb,1.46,1.43,1.46,0.75
heinz,1.39,1.36,1.39,0.95
heinz,0.99,1.19,1.39,0.95
heinz,0.79,1.43,1.45,0.99
stb,1.46,1.19,1.39,0.79
stb,0.99,1.43,1.39,0.75
stb,1.46,1.43,1.45,0.75
stb,1.39,1.39,1.45,0.99
hunts,1.39,0.79,1.39,0.95
heinz,0.99,1.53,1.49,0.95
delmonte,1.46,1.49,1.49,0.95
stb,1.39,0.89,1.49,0.95
stb,1.46,1.19,1.49,0.79
stb,1.19,1.53,1.49,0.95
stb,1.46,1.43,1.49,0.99
heinz,0.79,1.43,1.45,0.99
heinz,0.99,1.53,1.46,0.95
hunts,1.39,0.79,1.39,0.95
heinz,1.39,0.89,1.39,0.95
hunts,1.39,1.36,1.39,0.95
hunts,1.19,1.53,1.49,0.95
stb,0.99,1.43,1.49,0.75
hunts,1.39,0.99,1.39,0.99
hunts,1.19,1.29,1.39,0.95
hunts,1.39,1.39,1.49,0.89
hunts,1.19,0.89,1.39,0.95
hunts,1.46,1.29,1.39,0.95
stb,1.19,1.29,1.39,0.95
stb,1.19,1.19,1.39,0.79
heinz,1.39,1.39,1.49,0.89
heinz,1.19,1.36,1.39,0.95
heinz,1.19,1.29,1.46,0.95
heinz,1.46,1.44,1.46,0.79
heinz,0.99,1.53,1.46,0.95
heinz,0.79,1.43,1.46,0.99
hunts,1.46,0.99,1.46,0.95
stb,0.99,1.39,1.49,0.89
hunts,0.99,0.99,1.46,0.95
hunts,1.46,1.53,1.46,0.95
heinz,1.19,1.36,1.39,0.95
hunts,1.39,0.89,1.39,0.95
stb,1.39,1.36,1.39,0.95
heinz,1.19,1.39,1.49,0.89
heinz,1.19,1.36,1.46,0.95
heinz,1.46,1.44,1.46,0.79
heinz,1.46,1.19,1.46,0.79
heinz,0.79,1.43,1.46,0.99
hunts,0.99,1.19,1.46,0.95
hunts,1.46,1.43,1.45,0.99
heinz,1.39,1.36,1.39,0.95
heinz,1.19,1.36,1.39,0.95
heinz,1.46,1.43,1.46,0.79
heinz,1.46,1.53,1.46,0.95
heinz,0.99,1.53,1.46,0.95
heinz,1.46,1.43,1.46,0.99
heinz,0.79,1.43,1.46,0.99
hunts,1.39,0.79,1.39,0.95
delmonte,1.46,1.49,1.49,0.95
delmonte,1.19,1.36,1.39,0.95
heinz,1.19,1.39,1.49,0.89
delmonte,0.99,1.19,1.46,0.95
heinz,1.39,1.39,1.49,0.89
heinz,1.39,0.79,1.39,0.95
heinz,1.19,0.89,1.39,0.95
heinz,0.99,1.36,1.39,0.95
heinz,1.46,1.29,1.49,0.95
heinz,0.99,1.53,1.47,0.95
heinz,1.46,1.43,0.99,0.99
heinz,1.46,1.43,1.45,0.99
hunts,0.99,0.99,1.46,0.95
hunts,1.19,0.89,1.39,0.95
stb,1.46,1.43,1.47,0.79
stb,1.19,1.53,1.47,0.95
stb,1.46,1.53,1.47,0.75
stb,0.99,1.43,1.47,0.99
heinz,1.19,1.19,1.47,0.95
heinz,1.46,1.53,1.47,0.99
stb,1.46,1.53,1.46,0.79
stb,1.46,1.43,1.49,0.79
heinz,1.19,1.36,1.46,0.95
delmonte,1.46,1.43,0.99,0.99
heinz,1.19,1.36,1.46,0.95
heinz,1.46,1.36,1.46,0.95
heinz,1.19,1.29,1.46,0.95
heinz,1.46,1.43,1.46,0.79
stb,0.99,1.36,1.39,0.95
hunts,1.39,0.79,1.39,0.95
hunts,1.46,1.29,1.39,0.95
heinz,1.39,0.89,1.39,0.95
heinz,1.46,1.53,1.46,0.95
heinz,1.46,1.43,1.46,0.99
heinz,1.46,1.43,1.46,0.99
hunts,1.39,0.89,1.39,0.95
hunts,1.19,1.29,1.39,0.95
stb,1.39,1.36,1.39,0.95
stb,1.46,1.43,1.49,0.79
heinz,0.99,1.49,1.46,0.95
delmonte,1.47,1.43,0.89,0.99
heinz,1.19,1.36,1.46,0.95
heinz,1.19,0.99,1.46,0.95
heinz,0.79,1.43,1.46,0.99
heinz,0.99,1.43,1.46,0.99
heinz,0.99,1.43,1.46,0.99
hunts,1.46,1.53,1.46,0.95
stb,1.19,1.39,1.49,0.89
stb,1.39,0.89,1.49,0.89
stb,1.39,1.36,1.39,0.95
stb,1.46,1.36,1.46,0.95
stb,1.46,1.49,1.46,0.95
stb,1.46,1.53,1.46,0.95
stb,1.46,1.43,1.46,0.75
stb,1.46,1.43,1.46,0.99
stb,1.46,1.43,1.49,0.79
heinz,0.99,1.19,1.46,0.95
hunts,1.19,1.36,1.39,0.95
hunts,1.47,1.43,1.45,0.99
hunts,1.46,1.49,1.49,0.95
heinz,1.39,0.89,1.39,0.99
heinz,1.39,0.79,1.39,0.95
heinz,1.19,0.89,1.39,0.95
heinz,1.46,1.43,0.99,0.99
heinz,0.79,1.43,1.45,0.99
delmonte,1.46,1.43,0.99,0.79
stb,1.46,1.43,1.39,0.75
heinz,1.46,1.49,1.46,0.95
heinz,0.99,1.36,1.39,0.95
heinz,1.19,1.36,1.39,0.95
hunts,1.46,1.19,1.47,0.79
heinz,1.46,1.43,1.46,0.99
heinz,1.19,1.29,1.39,0.95
heinz,1.19,1.36,1.39,0.95
stb,1.46,1.43,0.99,0.75
heinz,0.99,1.43,1.45,0.99
heinz,1.19,1.36,1.39,0.95
heinz,1.46,1.43,1.45,0.99
hunts,1.46,1.29,1.39,0.95
hunts,1.46,1.43,1.39,0.75
heinz,0.99,1.43,1.46,0.99
heinz,0.99,1.43,1.45,0.99
hunts,1.46,1.43,1.46,0.99
hunts,0.99,1.39,1.46,0.99
heinz,1.46,1.29,1.39,0.99
heinz,1.46,1.53,1.49,0.95
heinz,1.46,1.43,1.46,0.79
hunts,1.19,1.36,1.39,0.95
hunts,1.39,1.36,1.39,0.95
heinz,0.99,1.19,1.49,0.95
heinz,1.46,1.49,1.46,0.95
stb,1.39,1.36,1.39,0.95
stb,1.39,1.36,1.49,0.95
stb,1.19,1.36,1.46,0.95
heinz,0.99,1.49,1.46,0.95
heinz,0.79,1.43,1.46,0.99
heinz,0.99,1.43,0.89,0.99
hunts,1.46,0.99,1.46,0.95
stb,1.39,1.36,1.39,0.95
stb,1.19,1.36,1.46,0.95
stb,1.19,1.36,1.46,0.95
stb,1.46,1.43,1.46,0.79
stb,1.46,1.19,1.46,0.79
heinz,1.19,1.36,1.39,0.95
heinz,0.99,1.43,0.89,0.99
hunts,1.39,0.89,1.39,0.95
hunts,1.46,1.43,1.46,0.99
stb,1.19,1.36,1.46,0.95
stb,1.46,1.44,1.46,0.79
stb,1.46,1.53,1.46,0.95
heinz,1,1.43,1.49,0.99
hunts,1.39,0.89,1.39,0.95
delmonte,1.46,1.43,0.99,0.99
heinz,1.39,1.36,1.39,0.95
hunts,1.46,1.29,1.49,0.95
heinz,0.99,1.53,1.46,0.95
heinz,1.46,1.53,1.47,0.99
heinz,1.46,1.43,1.45,0.99
hunts,1.19,1.53,1.47,0.95
delmonte,1.46,1.43,0.99,0.79
heinz,0.99,1.29,1.39,0.95
heinz,0.99,1.53,1.46,0.95
heinz,1.19,1.39,1.49,0.89
heinz,1.19,1.36,1.39,0.95
heinz,1.19,1.19,1.39,0.79
heinz,1.19,1.19,1.39,0.95
heinz,0.99,1.43,1.39,0.75
heinz,1.46,1.19,1.49,0.79
stb,1.46,1.36,1.39,0.95
